[NEW_DOCUMENT: DOCid=1, lang=bzd, DOCNAME=Los Bribris y Cabécares de Sulá].	[NEW_DOCUMENT: DOCid=1, lang=spa, DOCNAME=Los Bribris y Cabécares de Sulá].
[NEW CHAPTER: KËWE PRÓLOGO, DOCid=1, lang=bzd].	[NEW CHAPTER: KËWE PRÓLOGO, DOCid=1, lang=spa].
Kë́wë.	Prólogo.
Duás bákmì dobö́ m bö́ yök é tá̈ ská̈ Costa Rìca e ë́tsö se’ dtsö enä ape', uLítane e wa, míka ley yöne 7426 duás 1994, é tä se’ ká̈wö chö wëke ie' pa rör eʼ yöne. ~~~ E süè Ley yöne, skáchö ie, íyi, jkö noie énä se’ swöʼ kí̈ mé kä rak ìrìr, eʼ yöne á̈s apeʼ se’ jkáche buáeme, se’ kákí̈ʼ és ská̈ yé rke añìjke e é nä tä ìeʼ pa skímemi se’ ká̈ shu ä	Desde finales del siglo XX Costa Rica se vislumbra como un país “multiétnico y pluricultural, al promulgarse la Ley N° 7426 de 1994 el Día de las Culturas y en concordancia con lo que había sido dispuesto en la Ley Fundamental de Educación acerca de la conservación y ampliación de la herencia cultural.
Decreto Ejecutìvo yuwë́kane eʼ tsé wö rör 22072-MEP. ~~~ Eʼ yöne 25 de febrero de 1993, é na Decretö kí yöne eʼ tse wö rör 37801, é rör se’ ská̈wak kabé La pa enä táyeLa pa.	Su fundamento se origina en reducir las brechas sociales relacionadas con la calidad de la educación en las áreas rurales del sistema educativo y con ello mejorar la equidad, eficiencia y utilización de los recursos del sector educativo con énfasis en las poblaciones indígenas; mediante la reforma del Decreto Ejecutivo N° 22072-MEP, del 25 de febrero de 1993 y con la reforma del decreto del Subsistema 37801; se trata de enseñar a los niños y niñas indígenas que utilicen su idioma materno, así como el idioma español, responder a las necesidades culturales y socioeconómicas de las comunidadesv, abarcando su historia, su cosmovisión, sus conocimientos y sus sistemas de valores y tradiciones, entre otros.
Ëʼ wöuLa wëke se’ʼ jtöwa é̈ nä síkua jtöwa, ás kè se’ weír se’ ká̈ shúa, étä és se’ wöuLána se’ jtewa se’ suwowa ás se’ wö uLar senuk buáe íyì uLítenea. ~~~ Éta Decreto ske yöne káwö 15 de Julio, duás 2013, eʼ tsewö rör 37801-MEP, e'yöna se’ ská wak wöuLá wö ye, ás se’kí̈mer kös se’ ká tsö tser ejke, és se’ enaiäna, wés seʼ eʼ tsájchömì.	El 15 de julio del 2013 se publica en la Gaceta el nuevo decreto N° 37801 MEP, reforma del Subsistema de Educación Indígena, para que se adecue completamente a las necesidades de las comunidades indígenas y con mecanismos de participación claros en el cumplimiento de sus derechos; también, establece las particularidades de la educación indígena en términos de objetivos, idioma, enfoque, organización administrativoterritorial y recursos humanos; asimismo, los procedimientos de consulta y los mecanismos de participación de los pueblos indígenas en los procesos de toma de decisiones en materia educativa.
Kíjke se’ská̈wak kácheke, swák- tö wa wes swöuLármì ská k e n e uk, swák pata wë́s sñìrpáumì, séra e me cháke we s se’ eyuwömì, e' kenewé, Ministerio de Educación Pública, el equipo técnico del Departamento de Educación Intercultural, PROMECE, wés se’ rör íyìbke itse, erör se’ dehe ìe mì s ká ká̈bta,íyìwak jkö nö ie.	Este esfuerzo conjunto del Ministerio de Educación Pública, Equipo Técnico del Departamento de Educación Intercultural, PROMECE, permite la construcción de 7 Tomos de los Territorios Indígenas Costarricenses y en este Tomo 1 se adecuará la información provista de un marco metodológico y pedagógico, sobre los aspectos generales y vivenciales de los bribis y cabécares de Sulá.
Ítä se’ jtö se swö', e' tsö ia 100%, erese’ swö' pámìk ke rör és. ~~~ Éreta ská̈wötä iwa kaneuk. we s sdìkíetkuö ì keneö és, é ta s se rmì ye s yé e, buáe me yöbìta.	Con el fin de contar con información adecuada, ágil y oportuna, se exponen todos los elementos útiles, para lograr un conocimiento mayor, para entender el pasado, el presente y el futuro del mundo de los bribris y cabécares de Sulá.
Brìbrì pa é kabe car pa erör SuLaʼ icha S-sh ke kì skácheke énä ì wé we Se’ʼ swö ’ kacheke Spájchena ~~~ Ská̈wö ta uLítane eʼ yuök, ìdLö yök wéneyö̈́rke kaneblö k sta, se’ uLìtane eʼ jte taeʼ dche rör skabua wémì, se’ʼ é apeluLítane se’rke ká íkì stómì, sö ì suémìwe s s swö ʼ tsö tsér kuókì, kuö kì. ~~~ Se’dtsöwa, íerö n aka bar. ~~~ Isá̈ük ~~~ Úme keka i k e n e w ö́ ì e, ás skáwö menér. ~~~ Ká̈ í kï, eʼ kene we ke ínskí e, ás se’ʼ swö ke chöwa.	Con este trabajo se logra brindar insumos para la definición y análisis integral de todo ese legado cultural que conforman, por medio de la información obtenida, y constituir un aporte del Ministerio de Educación, específicamente el Departamento de Educación Intercultural a todo el sistema educativo, establecidos en la Región de Talamanca, y, en general, al país y fuera de sus fronteras.
Érör skímemì, ás sañì dìö yö erör skímemì sde che yö́k, es sdtse’wö es swö' erör smekamì añìj keese’ 'uLítane a.	
[END OF CHAPTER].	[END OF CHAPTER].
[NEW CHAPTER: INTRODUCCIÓN TTË ÑASKA, DOCid=1, lang=bzd].	[NEW CHAPTER: INTRODUCCIÓN TTË ÑASKA, DOCid=1, lang=spa].
Ttë ñaska.	Introducción.
Sa tsaku, sa yuwöwá je juí kie Sulá je ska sa kalawa tso tabar kie Bribripa jemi cabecarwa, ke cra jewa senelte ara, jenera jie warö jewa serdö kuawayë, ittörö, jemi iksö, jiewa bulésikö kuawa, jiewa ká pakö,jemi jiewa serdö jauleyë je jiewate siw a taí bëna je kaku mele bëna ji saje ditsöwa kie costa ricawa je ia biköle.	Los bribris y cabécares de Sulá señalan dos poblaciones indígenas unidas por razones históricas, sin embargo con grandes diferencias en el idioma, cantos y danzas ceremoniales, narraciones sagradas, costumbres y tradiciones propias de cada cultura aportan al conocimiento de la cultura costarricense.
Jeneska sate i-kuerasá kápake tai sa sakëglö wate melejátana sa wuawa ia, jeska pë yölë jewate saje siwá, kápake je yuledatsé, jete bikölë sa j érbike je kibi waka taí, jené pake datsé sate kalabë jewa ia, sa wögriwa, sa yuwöwá sa siwa wá, saje ttöwa jemi bëna jewa.	Se descubre así, una riqueza ancestral, a partir de la recopilación de los principales aportes de historiadores e investigadores, enriquecido con los conocimientos y prácticas vivenciales de los sabios de la cultura, líderes comunales, maestros de cultura, de lenguaje y pobladores.
Ji ayë jeska saje bëna jené siw a, kápaké, jé rbiké sikírama, jemi sajettö, jenewa bëna saje bëna je sa sigëglöwa jewa kapakalerö k ecrá ji ka kie ka bar ska.	Este tomo contiene la mayoría de sus costumbres ancestrales, su vida espiritual, el idioma, que han seguido practicando por décadas en Talamanca.
Maneska je sa ká pakale ka je shënata, je mablegate sate ñara, bënas í sa sigëglöwa jewa k ápakö sa kukona yabalá ra bëna wara, jilé salwí, juayökö, jálibá, bëchi, juíbuluwa, jemi male sigëglöwa kabla, sakékabla, ká diki je könanowa je wuwua je bëna paké ka shërta sa jánaka, meneskalera je juër sawa jela, je paké sa kukona mika sarö tsínela, yabalá ia, bitojun dögan mika sa dëgaju këyëwara, dögaju mika majunne sa Sulá kaska jerane, jebi kápake taí, jöi dalabuluktö je paké t aí jemi ji j íshökö je paké ñaneki taí.	
Bëna sa ditsö jewawá jebi ttë kibiwa je juñér sa bëna jewawa, jené k ueki sawa sa Sibö je ttë juñé r, je oloitse sate, je shkalweke sate k ecrá jérnaka.	Esto resulta en una información perdurable y valiosa sobre sus vivencias, su mundo mítico rodeado de espíritus buenos y malos, respetado en todo el estilo de vida de sus pobladores, desde el nacimiento hasta la muerte. ~~~ Se encuentran en la tierra como en el cosmos.
Ka mik Sibö jewa sa dëltë kuö wöyë duöye wata jené tsiki waite k ábata Yumbata rö, jeneska sa metölörö ditsöwo ratë.	Poblaciones que respetan y aman a Sibö, divinidad que los trajo como semillas de maíz a la tierra y los esparció en la Cordillera de Talamanca, en pares, y así formar los clanes.
Ji bëna ditsö tso jéwate sa ka je könane gate, ts atke gate, mika sa wéerkera sa tsatkö Useglawa tsorö, pë dukurwa datsé sa ka je bigö sa yabalá je yiga jera kueitsö, je tsatkö.	Componen poblaciones defensoras de sus territorios, por ello cuando se han visto en peligro deben enfrentar fuertes batallas contra los colonizadores, usurpadores de sus tierras.
Sa bëna ditsö je tsátkele sa sakëglö jewa juíbulute, jewa ia Siböte taklí kaku melé taí, je sa sigëglöwa ia siwá kibí taí kaku yinel jataná rö, sa böinéwaklö kal kichawa, kaköwa, je bëna datsé kalyökö naka, kábata jénaka, je mele jatana saje bëchi, jáliba je köjiöklö, sa böin éwaklö, jené kueki sa bulsikö kerö ñara chulí.	Se sentían protegidos por guías espirituales, seres que reciben el poder de Sibö, quien da los conocimientos y sabiduría para curar enfermedades, con medicinas naturales extraídas de la montaña, así como alejar a los espíritus malignos con cantos y rituales.
Ka mik jera saje jawa wa jewawa j ékata dami, jerö sikeirö t aí, je takli newa jiewa ttoké ka maitö Sibö ra, je siwá, je chakeké sia wa.	Los guías espirituales marcan su presencia portando grandes bastones de madera, sagrados, como símbolo de jerarquía, eso les permite entrar en comunicación, mediante sus sonidos, con el mundo mágico de los espíritus.
Jiewa ne klole sa nu l je töbiörö, jékkepa sa julá paliw a, ña páskuöne, sa döglöné sikinane junaka, jilé bëna je ñaklö, ka ñakñara je pab le kerö ttsëwa, je pauke ke rö bárama jawawá.	Tenían la potestad de enterrar a los difuntos pues solo ellos podían y tenían el conocimiento para lograr eliminar la impureza sagrada, llamada Ña, por medio de la música, cantos y el ritual de curación.
Je kanewe kerö sögötö jera yököwögata je wögane w egegarö, tögapa sa nu l je chihei je pásikeké sikirama pabutregewa k ábata naka, duas etka tkëpa je yegésané je töbie gewa jishö naka bárama.	Dicha ceremonia se inicia con el encendido de un fuego y un segundo enterramiento con los huesos limpios después de permanecer por un tiempo el cadáver en la montaña.
Sigëglwa jawa wá je pa ké manebi jiewa jewa ka biketse je juñér t aí, jiéwate Olögapú jemi namá je s iwei pakéta´, maneguepi sa sigëglöwa je ña buglé, ñákpá i bolkiwara, chöliwara, maískalera je tsatkerasa “dinamáte” jéwate sa bolkiwa kategecha wá miga diglö je párkera, sa tuoké diglö naka.	Las leyendas sobre los guías espirituales explican su poder mítico de transformación, por ejemplo, el águila, por ser el animal más fuerte y poderoso; convertido en jaguar, el animal más feroz, lucha en las batallas guerreras, ataca y destruye a sus enemigos, los salva del “jaguar de agua”, responsable de las muertes que suceden con las inundaciones o aquellas personas embriagadas que cruzan los ríos y mueren en ellos.
Jebi ñaneki dulurba je pakë, jerö s iweita taí, dukur këglö je pakë t aí, je moku këglö je pakë taí, mai jawa wa je kápagö ke ska, jeska jiewa wa satë, jilé bëna je kuö, je kulitö taglö je tso wayiná taí sigëlöwa ña ia, sa ia, bënasí.	También de gran importancia es la serpiente, el murciélago y la lechuza, que en los rituales vsiempre lo acompañan para demostrar su poder.
Ji kápake bëna jerö pakana, ñayuöglö bawasi, jené s iwá kápakë je chakená shurrú mai sa serké ska, sa ka ska, je sajertsö tso jewara, jiewa ká paká báwa, je bëna kitana, yönatka tögapa sawa pagana sa yaiwa ia, sa kalawa ia, yabalá yuwöglö manebi sa serké ji ka yöbi, kie kerwa je batá kika.	Todos estos aspectos generales y vivenciales se abordan desde un punto de vista metodológicosistemático de recopilación de información documental y de trabajo de campo (comunicación personal mediante entrevistas con informantes de cada pueblo) por ello cabe preservar sus conocimientos y opiniones para impulsar y estimular el aprendizaje de esta cultura hacia al mundo.
[END OF CHAPTER].	[END OF CHAPTER].
[NEW CHAPTER: CAPÍTULO 1 , DOCid=1, lang=bzd].	[NEW CHAPTER: CAPÍTULO 1 , DOCid=1, lang=spa].
1. Së’ Jtë ë́ ì wablënë, ká ìö ìö	1. Historia y antecedentes
Kö̈́s se’ʼ kajkue (BajaTalamanca) ramì és sìkuapa se' k á k L ö w ewa, eʼwable duás XIX e btawa. ~~~ Ëʼ kLö wewa Compañía kìeʼ United Fruit Company, chumu kuablie, e ìé t rör Northem Raìlway erör tren ña Lá yö' dye, iker.	A finales del siglo XIX, Baja Talamanca vivió una serie de enfrentamientos con no indígenas, por la usurpación de sus territorios, con la llegada de compañías transnacionales, como la United Fruit Company, para la producción de banano, y la Northern Railway, con la construcción del ferrocarril al Atlántico.
Ërör se' Ká SuLetchö , Wátsì, Kátsì e'suLuw ewa, se’' swö' budé e' méat, kíjkespó ka. ~~~ Ë' kewöta se’' bLu' t á' e' spö k a. ~~~ Ë' kewöt a se’' bLu' t a e' kíne AntonìoSaldaña.	Debido a esto, se afectaron muchas comunidades como Suretka, Watsi, Katsi entre otras, por un proceso de aculturación y desplazamiento de muchos indígenas a otras regiones.
Táin ìe' rör se’' íyö ts á che, Keìe' rör sìkua bLu' jtö tse’. ~~~ Ape' w a ìmíkekrö rö e dö San Jö sé ás ìe' se’' músts a,ereta ke' ìe' w a sìku pa ìutene. ~~~ Éta ìe'wa'r ícher íyök rör.	En Talamanca habitaba un rey, con el nombre de Antonio Saldaña, que se opuso a que sus tierras fueran cedidas por el gobierno a dichas empresas e incluso, cuando lo invitaban a viajar a San José para que negociara y aceptara las propuestas de dejar las tierras, no lo lograron convencer, él concebía como tierras sagradas y dejadas por sus antepasados por lo cual volvía a sus territorios, a defenderlos.
O ke watörta e'káwöt a tsóìche ìe' rör. ~~~ Éta síkua blu' rör, ape' tsö' yö ule (Juez de Paz), e' pajchebtu ás ke sñíjpö chumúwö'kìrpata, e' ke wöta ìu yörak swötöwaìe ìshkekìpa re dáse San José é Cartago.	El estado envió, en ese tiempo, “un juez de paz” para que pusiera orden y evitara las rebeliones en contra de las empresas, e incluso instalaron un cuartel con muchos policías, traídos de otros lugares como San José y Cartago.
Étä se' blu' Antonio Saldaña blenewa duás 1910 ke sw aichë́r buáé, e ret awe swa kö pö Li Sulúsì ewa ape' rörs té wa ke se’ blu,' ska yönene, ekuekì se’'á̈tä sìáeme, ke yì k ú iä stsáchök.	En 1910 muere de forma misteriosa Antonio Saldaña y muchos de los pobladores manifiestan un posible envenenamiento. ~~~ No hubo otro líder que lo sucediera y estas poblaciones ya no tenían quien los defendiera, por lo tanto fueron cediendo terreno y dichas empresas se apropiaron de la mayoría de sus tierras.
Ékuekì síkuapa rör ská yestsa seraeme,ë́ta skáwö ta shkön mì kámìe kábtayuLókne.	De este modo, cada vez se iban desplazando más adentro de la montaña.
Ëre chamú wökìrpanorteamerìca United Company ke se’netáìn.	La producción de banano por la empresa norteamericana United Fruit Company duró pocos años; los indígenas se lo atribuyen al poder de los awapas, quienes, con su poder espiritual, invocan a los espíritus; ellos influyeron para cesar la explotación.
Skékepa ì treö mì. ~~~ Ë skerekaneduás 1978, e reka kìö bíö k, tabe chkakì, e ta kaL téLö r taín e ñaLa yuö ìe, uyuö ìe kapö ìe síkuapa rase úpakö k e a,éwa táìn e kaL te, éna di' yawékä.	En 1978 en la búsqueda de encontrar hidrocarburos, los no indígenas, penetraron con maquinaria a las montañas; cortaron toneladas de árboles, para hacer caminos y establecer lugares turísticos como hoteles, en un proceso continuo de deforestación y contaminación de ríos.
Íta Asociación de Desarrollo IntegralIndígena, tsö' íyök tsáj chök, síkua Leywa, erör síkuapa rase ská yöts a kal i ö k.	La creación de la Asociación de Desarrollo Integral Indígena, busca proteger nuevamente las tierras con una normativa legal vigente de personas o empresas que quieran invadir sus territorios, como los madereros, sin embargo aún se conservan vírgenes por ser áreas protegidas.
Ére ta i' chökle kábtaLa tsö ia ber ber. ~~~ 2. I kìíä chë Bribri.	2. Significado y origen del nombre “bribri”.
Sa' brìbrì pa kuá bLe' Sìbö rör úyökuLímìk, sa' skáwak ramì wes dìwö shkö és, sì stìkí, stLá, sduówö e ta smìchöe we srase’ é erö. ~~~ Se’' tsö' se’r se’' wíbLu wa.	Los bribris, “nacieron de una semilla esparcida por Sibö en la Cordillera de Talamanca y como los indígenas siguen la misma ruta del Sol, se nace, se crece y se muere para regresar al lugar de donde se viene, es el alma de todo lo existente.
Éta, brìbrì kìáche, wíbLu k á, ke swai srámì áì yé, míkasa tsìkíne éta, míka síkwapa rek a é ta. ~~~ Sabrìbrì pa e tsá j che suLéwa. ~~~ Ë' kuekììkìne sLewak. ~~~ I ká tsájche ke dre re e ásape sdLöyö.	El nombre bribri significa pueblo de espíritu guerrero; valiente, libertario desde los habitantes originarios, en la época de la conquista, se defendían con la única arma que poseían, el arco y la flecha, es por ello que los llamaban ‘los flecheros’, defendían sus territorios para que fueran respetados.
Entrevìsta Alejandro Swaby Rodríguez, 2013.	Entrevista a Alejandro Swaby Rodríguez, 2013.
3. Së’' Swö'.	3. Cosmogonía
Se’ ská̈wak wáñe wá ìjcher wé s se’' swerör, wés se’ ká ì' yö́ ne, e' jcher se’' wa' mìrse’ dtsö skíne é ta, erör sìa, i ká ché wë́s ská̈wö ta íyì uLítöne tsö' se’' pámìk e' dLöyök.	Estas comunidades tienen una visión espiritual y mítica del universo y del mundo, así como su conocimiento ancestral el cual representa el equilibrio entre los humanos y las fuerzas sobrenaturales que los rodean.
