[NEW_DOCUMENT: DOCid=4, lang=gym, DOCNAME=El Mundo Ngäbe: Entre Costa Rica y Panamá].	[NEW_DOCUMENT: DOCid=4, lang=spa, DOCNAME=El Mundo Ngäbe: Entre Costa Rica y Panamá].
[NEW CHAPTER: JATÄRI PRÓLOGO , DOCid=4, lang=gym].	[NEW CHAPTER: JATÄRI PRÓLOGO , DOCid=4, lang=spa].
Kä siglo XX krüte mrä aune Costa Rica kügwe ni ngäberebtäo. keta käbre aune kugwe blitäbti bätä kugwe jodron jeñe noinbtä. ~~~ Nibi kwe ne ñan ñöbtä aune Ley del día de las Culturas btä Ley Fundamental de Educación köböite kugwe judron ngübuati btä cultura nuaindre kabre, abugon nebare btä.	Desde finales del siglo XX, Costa Rica se vislumbra como un país multiétnico y pluricultural, al promulgarse la Ley del Día de las Culturas y en concordancia con lo que había sido dispuesto en la Ley Fundamental de Educación acerca de la conservación y ampliación de la herencia cultural.
Krörö btä nunìe kugwe ja tötigabtä ni ngäberegwe ye migata brai digá aune kugwe ñakä, nemen kuin t ä t e j a t ö t i g a b t i , n e k r w e r e a b u g o n ngwian btä ja tötigagwe ye dräidre, kuin ni ngäberebti, Decreto Ejecutivo n° 22072-objetivos, idioma, enfoque, organización MEP del 25 de febrero de 1993 köböire ne känti monsotre merire brare ngäbere kägwe ja tötigare kugwe jagwe jeñe btä kugwe suliare yebti erato, btä kugwe ngwianbti ngäbegrä, btä kugwe jeñe ni ngäberegwe, kugwe kira nigwe, ni nüne ño kugwe utuäte nigwe btä kugwe keta kabre mada.	Su fundamento se origina en reducir las brechas sociales relacionadas con la calidad de la educación en las áreas rurales del sistema educativo y con ello mejorar la equidad, eficiencia y utilización de los recursos del sector educativo con énfasis en las poblaciones indígenas, mediante la reforma del Decreto Ejecutivo N. ° 22072- MEP del 25 de febrero de 1993 se trata de enseñar a los niños y niñas indígenas que utilicen su lengua materna, así como el idioma español, para responder a las necesidades culturales y socioeconómicas de las comunidades, abarcando su historia, cosmovisión, conocimientos y sus sistemas de valores y tradiciones entre otros.
	El 15 de julio del 2013 se publica en la Gaceta el nuevo decreto N. ° 37801 MEP, reforma del Subsistema de Educación Indígena, para que se adecue completamente a las necesidades de las comunidades indígenas y con mecanismos de participación claros en el cumplimiento de sus derechos; también, establece las particularidades de la educación indígena en términos de administrativoterritorial y recursos humanos; asimismo, los procedimientos de consulta y los mecanismos de participación de los pueblos indígenas en los procesos de toma de decisiones en materia educativa.
Ne ja di migagwe Ministerio de Educación Pública btä Equipo Técnico del Departa mento de Educación Intercultural, Promece, kagwe kugwe tomo sribeni kugwe ni ngäbere käite Costarrikäbu, aune tomo ketabogä, nebtä kugwe migai metodölogico btä pedagogìco ja totigawe yebta ni ngäbere käe ño aune nüne ño.	Este esfuerzo conjunto del Ministerio de Educación Pública, el Equipo Técnico del Departamento de Educación Intercultural, PROMECE, permite la construcción de 7 Tomos de los Territorios Indígenas Costarricenses y en este Tomo 4 se adecuará la información provista de un marco metodológico y pedagógico de la educación sobre los aspectos generales y vivenciales del Mundo Ngäbe.
Ne konti kugwe rabadre era métre drékebe aune tädrera jötkrä ni kisete, ñodre tärä jatötigara, ne krwere abugon ni jatötigare bäri kuin, ne krwere abugon dre naganinga kira niedre gwan gwäre, aune roraiga mada ni konengri ni ngäbere käite, ribi nebti kugwe naindi, migaitäri ñärärä dre o kugwe ñö miganinte nie migai gare jae, abugon btä Ministerio de Educación btä Departamento Educación Intercultural tä sribi nuaine bti migaiube gare Costaricagri btä Panamagri bata jökrä kä kribti tibien.	Con el fin de contar con información adecuada, ágil y oportuna, se exponen todos los elementos útiles como material didáctico para lograr un conocimiento mayor, para entender el pasado, el presente y el futuro del mundo Ngäbe. ~~~ Con este trabajo se logra brindar insumos para la definición y análisis integral de todo ese legado cultural que conforman por medio de la información obtenida y que constituyan un aporte del Ministerio de Educación, específicamente el Departamento Intercultural, a todo el sistema educativo establecido en la Región entre Costa Rica y Panamá, y en general al país y fuera de sus fronteras.
[END OF CHAPTER].	[END OF CHAPTER].
[NEW CHAPTER: INTRODUCCIÓN Kugwe datigabie , DOCid=4, lang=gym].	[NEW CHAPTER: INTRODUCCIÓN Kugwe datigabie , DOCid=4, lang=spa].
	Nl mundo Ngäbe entre Costa Rica y Panamá tiene sus características muy particulares contempladas entre los territorios indígenas costarricenses, por razones de índole históricas, sociales, culturales y económicas que representa la aplicación de esfuerzo y trabajo en la visión a ese entorno en que habitan distribuidos en varias regiones.
Ei ngäbere aune trä ogwä teri ye negri btä segri Costarikagri btä Panamagri, ye bäsi bä ja erebe nementä ni ngäbe käite Costarikagri, ye kirabe, nnüante ye ngwianbti jogrä dröÏ: bare kä ketä kabreti, ye nitre nomene diguega jome tä negwäro rüne koregwabo nitre toni diguega comarca Ngäbe-bugle nigue mentogwäre.	Son fruto de la migración iniciada a mediados del siglo XX, provienen del norte de Bocas del Toro en Panamá, quienes atravesaron la Cordillera y se desplazaron, también, hacia la parte sur de Costa Rica, porque en décadas pasadas no habían fronteras en ambos países y se movilizaban dentro de su propio territorio.
