[NEW DOCUMENT 03/31/23 SP:06:05:a GN:10:47:a]	[NEW DOCUMENT 03/31/23 SP:06:05:a GN:10:47:a]
Oiko aty peteĩha CONADIS-pegua.	Se llevó a cabo la primera sesión de la CONADIS del año.
Oiko kuri ko ararundy 29 jasyapy, 2023-pe, aty peteĩha ko arýpegua "Comisión Nacional por los Derechos de las Personas con Discapacidad" CONADIS pegua.	El miércoles 29 de marzo, se llevó a cabo la primera sesión de la Comisión Nacional por los Derechos de las Personas con Discapacidad (CONADIS) del año.
	La reunión tuvo lugar en el Salón Auditorio de la Secretaría Nacional por los Derechos Humanos de las Personas con Discapacidad (SENADIS) y contó con la participación de representantes de la sociedad civil nominados en elecciones y representantes de diferentes organismos del Estado.
	En representación de la Secretaría de Políticas Lingüísticas, participó la directora General de Planificación Lingüística, Celia Godoy.
Ojeguerekóvo quórum, umi Paraguái Retã Remimoĩmbykuéra ohechauka imarandu Subcomisión rehegua, ojehechauka marandu Certificado de Discapacidad añetegua'ỹva ha avei umi denuncia noñemoañeteihápe Léi 6556 pasaje gratuito rehegua tapichakuéra hekoambuèvape g̃uarã.	
[NEW DOCUMENT 03/28/23 SP:04:25:a GN:10:33:a]	[NEW DOCUMENT 03/28/23 SP:04:25:a GN:10:33:a]
PÑS Sãmbyhyhára oĩ Amandaje guasúpe Cádiz, España-pe.	Ministra de la SPL participa en en el IX Congreso Internacional de la Lengua Española (CILE).
Paraguái Ñe'ẽnguéra Sãmbyhyhára Ladislaa Alcaraz de Silvero oĩ ñane retã rérape IX Congreso Internacional de Lengua Española(CILE)-pe, Amandaje ombyatýva España ñe'ẽ ha arandupy kuaahára arapy tuichakuégui.	Cádiz se convierte en la sede del IX Congreso Internacional de la Lengua Española (CILE), un evento que reúne a destacados expertos en lengua y cultura hispana de todo el mundo.
Ko Amandaje ojejapóva 27 jasyapy guive 30 jasyapy peve oguereko hupytyrãrõ ñemongetajere Español ñe'ẽ ko'ag̃agua ha tenonderã rehe.	El congreso, que se celebra del 28 al 30 de marzo, tiene como objetivo principal debatir sobre el presente y el futuro del idioma español.
[NEW DOCUMENT 03/20/23 SP:09:37:a GN:09:45:a]	[NEW DOCUMENT 03/20/23 SP:09:37:a GN:09:45:a]
Ojekuaauka Guarani Ñe'ẽndy Agencia Espacial Paraguáigua.	Presentaron Banco Terminológico bilingüe de la Agencia Espacial del Paraguay.
Ko arapoteĩ ohasava'ekue Paraguái Ñe'ẽnguéra Sãmbyhyhára Ladislaa Alcaraz de Silvero ha Rossana Arias, Ñe'ẽnguéra Rape'apo Moakãhapavẽmegua oĩkuri ojekuaaukahápe "Banco Terminológico Bilingüe de la Agencia Espacial del Paraguay" Módulo Post grado del Curso de Capacitación "Estudios Espaciales" rehegua.	El pasado viernes la ministra de la Secretaría de Políticas, Ladislaa Alcaraz de Silvero en compañía de la técnica de Planificación Lingüística, Rossana Arias en la presentación del "Banco Terminológico bilingüe de la Agencia Espacial del Paraguay", como parte de los Módulos del Posgrado de curso de capacitación en "Estudios Espaciales".
[NEW DOCUMENT 03/10/23 SP:10:44:a GN:10:52:a]	[NEW DOCUMENT 03/10/23 SP:10:44:a GN:10:52:a]
Paraguái Ñe'ēnguéra Sambyhyhára, Ladislaa Alcaraz de Silvero oĩ kuri aty FILAC peguápe, oikova'ekue ZOOM rupive.	La ministra participó en la reunion de la FILAC via ZOOM.
