[NEW DOCUMENT 03/31/23 SP:06:05:a GN:10:47:a]	[NEW DOCUMENT 03/31/23 SP:06:05:a GN:10:47:a]
Se llevó a cabo la primera sesión de la CONADIS del año.	Oiko aty pete?ha CONADIS-pegua.
"El miércoles 29 de marzo, se llevó a cabo la primera sesión de la Comisión Nacional por los Derechos de las Personas con Discapacidad (CONADIS) del año."	"Oiko kuri ko ararundy 29 jasyapy,2023-pe,aty pete?ha ko arýpegua""Comisión Nacional por los Derechos de las Personas con Discapacidad"" CONADIS pegua.Ojeguerekóvo quórum,umi Paraguái Retã Remimo?mbykuéra ohechauka imarandu Subcomisión rehegua,ojehechauka marandu Certificado de Discapacidad añetegua'?va ha avei umi denuncia noñemoañeteihápe Léi 6556 pasaje gratuito rehegua tapichakuéra hekoambuèvape g?uarã."
La reunión tuvo lugar en el Salón Auditorio de la Secretaría Nacional por los Derechos Humanos de las Personas con Discapacidad (SENADIS) y contó con la participación de representantes de la sociedad civil nominados en elecciones y representantes de diferentes organismos del Estado.	Oiko aty pete?ha CONADIS-pegua.
"En representación de la Secretaría de Políticas Lingüísticas, participó la directora General de Planificación Lingüística, Celia Godoy."	"Oiko kuri ko ararundy 29 jasyapy,2023-pe,aty pete?ha ko arýpegua""Comisión Nacional por los Derechos de las Personas con Discapacidad"" CONADIS pegua.Ojeguerekóvo quórum,umi Paraguái Retã Remimo?mbykuéra ohechauka imarandu Subcomisión rehegua,ojehechauka marandu Certificado de Discapacidad añetegua'?va ha avei umi denuncia noñemoañeteihápe Léi 6556 pasaje gratuito rehegua tapichakuéra hekoambuèvape g?uarã."
Se llevó a cabo la primera sesión de la CONADIS del año.	
"El miércoles 29 de marzo, se llevó a cabo la primera sesión de la Comisión Nacional por los Derechos de las Personas con Discapacidad (CONADIS) del año."	
La reunión tuvo lugar en el Salón Auditorio de la Secretaría Nacional por los Derechos Humanos de las Personas con Discapacidad (SENADIS) y contó con la participación de representantes de la sociedad civil nominados en elecciones y representantes de diferentes organismos del Estado.	
"En representación de la Secretaría de Políticas Lingüísticas, participó la directora General de Planificación Lingüística, Celia Godoy."	
[NEW DOCUMENT 03/28/23 SP:04:25:a GN:10:33:a]	[NEW DOCUMENT 03/28/23 SP:04:25:a GN:10:33:a]
Ministra de la SPL participa en en el IX Congreso Internacional de la Lengua Española (CILE).	"PÑS Sãmbyhyhára o? Amandaje guasúpe Cádiz, España-pe."
"Cádiz se convierte en la sede del IX Congreso Internacional de la Lengua Española (CILE), un evento que reúne a destacados expertos en lengua y cultura hispana de todo el mundo."	"Paraguái Ñe'?nguéra Sãmbyhyhára Ladislaa Alcaraz de Silvero o? ñane retã rérape IX Congreso Internacional de Lengua Española(CILE)-pe,Amandaje ombyatýva España ñe'? ha arandupy kuaahára arapy tuichakuégui.Ko Amandaje ojejapóva 27 jasyapy guive 30 jasyapy peve oguereko hupytyrãrõ ñemongetajere Español ñe'? ko'ag?agua ha tenonderã rehe."
"El congreso, que se celebra del 28 al 30 de marzo, tiene como objetivo principal debatir sobre el presente y el futuro del idioma español."	"PÑS Sãmbyhyhára o? Amandaje guasúpe Cádiz, España-pe."
Ministra de la SPL participa en en el IX Congreso Internacional de la Lengua Española (CILE).	"Paraguái Ñe'?nguéra Sãmbyhyhára Ladislaa Alcaraz de Silvero o? ñane retã rérape IX Congreso Internacional de Lengua Española(CILE)-pe,Amandaje ombyatýva España ñe'? ha arandupy kuaahára arapy tuichakuégui.Ko Amandaje ojejapóva 27 jasyapy guive 30 jasyapy peve oguereko hupytyrãrõ ñemongetajere Español ñe'? ko'ag?agua ha tenonderã rehe."
"Cádiz se convierte en la sede del IX Congreso Internacional de la Lengua Española (CILE), un evento que reúne a destacados expertos en lengua y cultura hispana de todo el mundo."	
"El congreso, que se celebra del 28 al 30 de marzo, tiene como objetivo principal debatir sobre el presente y el futuro del idioma español."	
[NEW DOCUMENT 03/20/23 SP:09:37:a GN:09:45:a]	[NEW DOCUMENT 03/20/23 SP:09:37:a GN:09:45:a]
Presentaron Banco Terminológico bilingüe de la Agencia Espacial del Paraguay.	Ojekuaauka Guarani Ñe'?ndy Agencia Espacial Paraguáigua..
