[NEW DOCUMENT 03/31/23 SP:06:05:a GN:10:47:a]	[NEW DOCUMENT 03/31/23 SP:06:05:a GN:10:47:a]
Se llevó a cabo la primera sesión de la CONADIS del año.	Oiko aty peteĩha CONADIS-pegua.
El miércoles 29 de marzo, se llevó a cabo la primera sesión de la Comisión Nacional por los Derechos de las Personas con Discapacidad (CONADIS) del año.	Oiko kuri ko ararundy 29 jasyapy,2023-pe,aty peteĩha ko arýpegua"Comisión Nacional por los Derechos de las Personas con Discapacidad" CONADIS pegua.Ojeguerekóvo quórum,umi Paraguái Retã Remimoĩmbykuéra ohechauka imarandu Subcomisión rehegua,ojehechauka marandu Certificado de Discapacidad añetegua'ỹva ha avei umi denuncia noñemoañeteihápe Léi 6556 pasaje gratuito rehegua tapichakuéra hekoambuèvape g̃uarã.
La reunión tuvo lugar en el Salón Auditorio de la Secretaría Nacional por los Derechos Humanos de las Personas con Discapacidad (SENADIS) y contó con la participación de representantes de la sociedad civil nominados en elecciones y representantes de diferentes organismos del Estado.	Oiko aty peteĩha CONADIS-pegua.
En representación de la Secretaría de Políticas Lingüísticas, participó la directora General de Planificación Lingüística, Celia Godoy.	Oiko kuri ko ararundy 29 jasyapy,2023-pe,aty peteĩha ko arýpegua"Comisión Nacional por los Derechos de las Personas con Discapacidad" CONADIS pegua.Ojeguerekóvo quórum,umi Paraguái Retã Remimoĩmbykuéra ohechauka imarandu Subcomisión rehegua,ojehechauka marandu Certificado de Discapacidad añetegua'ỹva ha avei umi denuncia noñemoañeteihápe Léi 6556 pasaje gratuito rehegua tapichakuéra hekoambuèvape g̃uarã.
Se llevó a cabo la primera sesión de la CONADIS del año.	
El miércoles 29 de marzo, se llevó a cabo la primera sesión de la Comisión Nacional por los Derechos de las Personas con Discapacidad (CONADIS) del año.	
La reunión tuvo lugar en el Salón Auditorio de la Secretaría Nacional por los Derechos Humanos de las Personas con Discapacidad (SENADIS) y contó con la participación de representantes de la sociedad civil nominados en elecciones y representantes de diferentes organismos del Estado.	
En representación de la Secretaría de Políticas Lingüísticas, participó la directora General de Planificación Lingüística, Celia Godoy.	
[NEW DOCUMENT 03/28/23 SP:04:25:a GN:10:33:a]	[NEW DOCUMENT 03/28/23 SP:04:25:a GN:10:33:a]
Ministra de la SPL participa en en el IX Congreso Internacional de la Lengua Española (CILE).	PÑS Sãmbyhyhára oĩ Amandaje guasúpe Cádiz, España-pe.
